baxter_x,baxter_y,baxter_z,kinect_x,kinect_y,kinect_z
0.784038,-0.363711,0.0918885,0.298503,0.148118,0.722298
1.02997,-0.215819,0.240136,0.150013,-0.108842,0.867982
1.03012,-0.216761,0.240984,0.153178,-0.10933,0.866676
1.03012,-0.216424,0.241635,0.153247,-0.110188,0.86504
1.03029,-0.21756,0.240723,0.150532,-0.11029,0.874698
1.02996,-0.216997,0.240938,0.149644,-0.1099,0.867646
1.03051,-0.216719,0.241624,0.150575,-0.111676,0.870353
1.02982,-0.216592,0.241047,0.150697,-0.110111,0.86888
1.03014,-0.216139,0.241911,0.149877,-0.109632,0.867877
1.02972,-0.21645,0.241115,0.149711,-0.109925,0.867634
1.02892,-0.215799,0.241469,0.149191,-0.109942,0.873663
1.02959,-0.216181,0.241964,0.149916,-0.111075,0.870763
1.02926,-0.215031,0.242828,0.149863,-0.111561,0.869763
1.02911,-0.215844,0.241733,0.150131,-0.109871,0.866511
1.02938,-0.216368,0.242161,0.149725,-0.109689,0.86681
1.02939,-0.21652,0.242392,0.146694,-0.114185,0.864507
1.02946,-0.216472,0.242399,0.151276,-0.110618,0.869239
1.01896,0.170568,0.198298,-0.242883,-0.0774352,0.874168
1.01916,0.169613,0.196894,-0.241589,-0.0749741,0.872252
1.0192,0.169293,0.197214,-0.240754,-0.0750004,0.871863
1.01951,0.167916,0.195437,-0.243174,-0.0745514,0.874485
1.0194,0.168445,0.196005,-0.240604,-0.0739354,0.874704
1.01917,0.16898,0.196009,-0.241468,-0.074811,0.875457
1.0193,0.168533,0.195806,-0.241375,-0.074959,0.873981
0.797231,0.104724,0.0564468,-0.181163,0.168717,0.745248
0.797426,0.105147,0.0555015,-0.18168,0.167569,0.751271
0.801533,0.0461212,0.122227,-0.120116,0.109774,0.720861
0.80102,0.0473078,0.121446,-0.11998,0.11147,0.723394
0.800999,0.0472922,0.12146,-0.119905,0.113126,0.719643
0.801172,0.0471344,0.120816,-0.118448,0.113684,0.725371
