baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
0.781049,-0.36721,0.0901881,-0.765898,-0.273036,1.56334
0.782769,-0.367055,0.089166,-0.770853,-0.259107,1.56105
0.782127,-0.367156,0.0884414,-0.763377,-0.270312,1.56597
1.10159,-0.314021,0.357329,-0.487256,-0.378819,1.27118
1.10135,-0.311305,0.357611,-0.485369,-0.380926,1.27318
1.10141,-0.31011,0.357037,-0.484887,-0.380301,1.27408
1.10179,-0.311818,0.355991,-0.484757,-0.379816,1.27384
1.12967,-0.462068,0.369382,-0.567034,-0.306568,1.16481
1.13027,-0.459291,0.368756,-0.567446,-0.304193,1.16405
1.13026,-0.458737,0.368373,-0.566306,-0.304476,1.16749
1.13017,-0.457746,0.368874,-0.566997,-0.305758,1.16579
1.13027,-0.457555,0.368912,-0.567379,-0.306772,1.16824
1.03485,-0.421352,0.227743,-0.610203,-0.248584,1.32329
1.03644,-0.417942,0.226804,-0.60827,-0.248108,1.32633
1.03665,-0.418964,0.227865,-0.609253,-0.251271,1.32403
1.03701,-0.418778,0.229348,-0.607416,-0.248278,1.32333
1.03699,-0.420776,0.229688,-0.608805,-0.252553,1.32259
0.987291,-0.322861,0.174087,-0.577742,-0.271788,1.44817
0.987543,-0.322051,0.174999,-0.578801,-0.272017,1.44355
0.988209,-0.321456,0.174383,-0.579658,-0.271901,1.4494
0.987643,-0.321285,0.17425,-0.579919,-0.272883,1.44464
0.956138,-0.297774,0.160484,-0.584892,-0.287933,1.47688
0.955967,-0.300067,0.160138,-0.587683,-0.287288,1.4757
0.955974,-0.299969,0.159897,-0.586566,-0.286506,1.47695
0.955944,-0.299851,0.159138,-0.585759,-0.286124,1.47532
0.955422,-0.298894,0.158265,-0.586569,-0.286522,1.47751
1.10817,0.0800977,0.14332,-0.219182,-0.383883,1.63395
1.10834,0.0785958,0.143545,-0.220113,-0.382611,1.63305
1.16351,0.0509909,0.184309,-0.200885,-0.381347,1.55907
1.16431,0.0501606,0.186273,-0.198195,-0.379912,1.5556
1.00919,0.054672,0.219856,-0.317952,-0.471614,1.62836
1.02739,-0.341986,0.0290389,-0.569391,-0.129348,1.49802
1.02664,-0.339675,0.0279043,-0.569956,-0.130813,1.50283
1.02687,-0.337665,0.0300603,-0.569145,-0.131714,1.5007
1.06256,-0.43529,0.106843,-0.608873,-0.135823,1.37926
1.06278,-0.433551,0.107958,-0.609001,-0.134963,1.38103
1.06266,-0.433048,0.107652,-0.607289,-0.138154,1.37835
1.06223,-0.434107,0.106908,-0.607761,-0.13253,1.38271
1.06229,-0.432458,0.106527,-0.607368,-0.133974,1.38141
