baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
0.815142,-0.199068,-0.080303,0.146245,0.233327,0.821071
0.815990,-0.199071,-0.077778,0.146519,0.230388,0.819622
0.816767,-0.199485,-0.077072,0.146831,0.229125,0.818710
0.817059,-0.199229,-0.075707,0.146879,0.228021,0.817730
0.817397,-0.200019,-0.075851,0.147268,0.227700,0.818902
0.836090,-0.063640,-0.017237,0.009975,0.169932,0.823468
0.835830,-0.063250,-0.017961,0.009689,0.170553,0.822063
0.836095,-0.064224,-0.018650,0.009532,0.172281,0.826523
0.835901,-0.063665,-0.019348,0.009612,0.172503,0.825767
0.835752,-0.063520,-0.019022,0.009528,0.171848,0.822834
0.728352,-0.139186,0.180362,0.077039,0.065479,0.607266
0.727985,-0.138990,0.180268,0.076974,0.065622,0.607622
0.728646,-0.138263,0.179887,0.076678,0.065702,0.607822
0.728920,-0.138472,0.179882,0.076238,0.065787,0.608205
0.728455,-0.137628,0.179252,0.076232,0.066080,0.608236
0.793182,-0.085200,0.247716,0.017291,-0.031278,0.634338
0.793537,-0.085028,0.246504,0.018137,-0.030672,0.635779
0.793554,-0.086455,0.246985,0.018441,-0.030579,0.635299
0.793498,-0.086116,0.247223,0.018224,-0.030474,0.635733
0.793512,-0.085662,0.246428,0.018494,-0.030454,0.636185
0.849447,-0.042560,0.271496,-0.020356,-0.081080,0.676502
0.850187,-0.043134,0.271250,-0.020820,-0.080913,0.676056
0.849896,-0.042092,0.270967,-0.020791,-0.080814,0.677285
0.850084,-0.042472,0.270616,-0.020960,-0.080986,0.676926
0.850118,-0.042702,0.270574,-0.020697,-0.080947,0.677848
0.788621,0.025714,0.241271,-0.086087,-0.022661,0.638767
0.788939,0.025425,0.240822,-0.085976,-0.022713,0.636054
0.789223,0.024877,0.241312,-0.085580,-0.022447,0.633263
0.789775,0.024786,0.240729,-0.085179,-0.022099,0.630017
0.789052,0.025511,0.240639,-0.085064,-0.021998,0.629874
0.896004,-0.014011,0.288702,-0.033401,-0.130739,0.706739
0.895267,-0.013023,0.288500,-0.035594,-0.133309,0.718655
0.895401,-0.013460,0.287401,-0.034689,-0.131849,0.717932
0.895281,-0.013223,0.287201,-0.034144,-0.128042,0.703184
0.895321,-0.012773,0.287281,-0.034920,-0.129679,0.713221
0.903775,-0.059385,0.284384,0.013324,-0.128601,0.715165
0.903627,-0.060568,0.283447,0.013074,-0.127062,0.715916
0.903780,-0.060424,0.283361,0.013234,-0.126558,0.714628
0.903894,-0.061112,0.283376,0.013432,-0.126410,0.716369
0.903634,-0.060418,0.282951,0.013390,-0.126915,0.718210
0.868655,0.032795,0.280856,-0.083342,-0.106129,0.693047
0.868260,0.032989,0.280506,-0.082873,-0.104908,0.691183
0.868351,0.032347,0.281222,-0.082749,-0.104694,0.691218
0.868572,0.032425,0.280950,-0.082859,-0.105213,0.692698
0.868438,0.032692,0.281612,-0.082649,-0.104726,0.689606
0.730125,-0.088058,0.404481,0.026734,-0.134763,0.478157
0.731230,-0.087216,0.406167,0.025608,-0.136512,0.478337
0.732097,-0.085884,0.406583,0.023993,-0.139175,0.478368
0.731838,-0.084989,0.406764,0.022790,-0.138906,0.479174
0.731369,-0.082890,0.406809,0.021931,-0.139169,0.479353
0.751911,-0.030805,0.347674,-0.028783,-0.103355,0.537315
0.752526,-0.030136,0.348690,-0.028387,-0.103419,0.537609
0.752874,-0.028949,0.350281,-0.029113,-0.104044,0.538112
0.754833,-0.030118,0.352923,-0.028791,-0.108330,0.536017
0.753875,-0.029511,0.352380,-0.028744,-0.108343,0.536996
0.774117,-0.206458,0.371270,0.146202,-0.127297,0.526672
0.774223,-0.205356,0.372040,0.144492,-0.127460,0.525081
0.773912,-0.205317,0.371597,0.144265,-0.127574,0.525754
0.774491,-0.205478,0.372098,0.143808,-0.127328,0.524455
0.802526,-0.272439,0.290838,0.213262,-0.074407,0.594987
0.802206,-0.271237,0.291495,0.212701,-0.074489,0.593574
0.803378,-0.272386,0.292213,0.212787,-0.074929,0.593939
0.803502,-0.272282,0.292503,0.213908,-0.076003,0.594336
0.804174,-0.272474,0.294418,0.213495,-0.077799,0.593729
0.730507,-0.196646,0.302180,0.137351,-0.043959,0.533166
0.730722,-0.197004,0.301550,0.137463,-0.044146,0.533259
0.730798,-0.197023,0.301725,0.137833,-0.044225,0.533284
0.731099,-0.198667,0.301306,0.139005,-0.043845,0.534226
0.731064,-0.198361,0.301396,0.139127,-0.043701,0.534176
0.767815,-0.029672,0.290373,-0.026035,-0.059441,0.586539
0.767894,-0.030700,0.290638,-0.024398,-0.059478,0.585355
0.768077,-0.030903,0.289974,-0.024389,-0.059614,0.586248
0.768268,-0.031386,0.290782,-0.023328,-0.059953,0.586226
0.768131,-0.031741,0.290073,-0.023177,-0.059784,0.585775
