baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
0.866167,-0.12993,-0.0757904,0.115132,0.205982,0.875971
0.866862,-0.130738,-0.0740966,0.113728,0.202628,0.873059
0.867984,-0.131632,-0.0730204,0.114363,0.200924,0.873068
0.868371,-0.132144,-0.0727625,0.114852,0.203133,0.873923
0.909737,-0.0275661,0.00486415,0.00710551,0.110967,0.873361
0.90946,-0.0265713,0.00446123,0.00500056,0.112191,0.875722
0.909894,-0.0274157,0.00391782,0.00739822,0.111407,0.874606
0.909419,-0.0262514,0.00545707,0.00717175,0.108399,0.872739
0.90905,-0.0263059,0.00652666,0.00837297,0.110766,0.873345
0.776358,-0.119749,0.247121,0.0986367,-0.0262424,0.625473
0.776852,-0.11928,0.247063,0.0983108,-0.0260617,0.624064
0.77647,-0.119367,0.247467,0.0978952,-0.0254314,0.623945
0.776609,-0.119171,0.24701,0.0976981,-0.0258189,0.625416
0.776466,-0.118546,0.246343,0.096538,-0.0250196,0.623936
0.863212,-0.108016,0.287526,0.0889672,-0.106401,0.681559
0.863757,-0.110253,0.287311,0.0897224,-0.106362,0.681268
0.863865,-0.110313,0.288362,0.089598,-0.105985,0.682349
0.863966,-0.110151,0.287401,0.0899425,-0.105749,0.681276
0.863843,-0.109683,0.287398,0.0906909,-0.10582,0.681882
0.923213,-0.0262972,0.309637,0.00919238,-0.158264,0.724894
0.923405,-0.0252637,0.309536,0.0080185,-0.159086,0.725055
0.923301,-0.025166,0.309807,0.00739772,-0.158008,0.725198
0.923146,-0.025218,0.310552,0.00941464,-0.15826,0.724894
0.922884,-0.0252968,0.311242,0.0088703,-0.158925,0.724572
0.836448,0.0859266,0.277175,-0.109625,-0.0827295,0.674257
0.837117,0.0859648,0.275989,-0.109489,-0.0821759,0.673515
0.83733,0.0854502,0.276204,-0.109867,-0.0822848,0.673732
0.837283,0.0855828,0.275776,-0.110077,-0.0823314,0.673738
0.837409,0.0857927,0.275686,-0.109546,-0.0819121,0.675528
0.919236,0.0675819,0.278937,-0.0776254,-0.134673,0.742209
0.918301,0.0682786,0.277233,-0.078739,-0.132529,0.740679
0.918352,0.0679555,0.277889,-0.0787661,-0.134106,0.740506
0.919622,0.0678187,0.278802,-0.0786033,-0.134927,0.74122
0.919331,0.0682124,0.277964,-0.0787962,-0.134525,0.742156
0.925989,0.021629,0.289671,-0.0334357,-0.14474,0.738651
0.925203,0.022486,0.287636,-0.0333915,-0.144151,0.740008
0.926355,0.0211323,0.286872,-0.0333196,-0.143175,0.740618
0.925657,0.0217459,0.286908,-0.0330577,-0.142841,0.740155
0.926114,0.0207459,0.287283,-0.0330975,-0.142784,0.739809
0.884524,0.11427,0.297362,-0.133705,-0.130635,0.705856
0.883971,0.115178,0.296985,-0.134273,-0.130226,0.70713
0.884929,0.114354,0.2977,-0.133483,-0.131089,0.706796
0.884888,0.114179,0.297788,-0.133485,-0.131408,0.706173
0.884396,0.114391,0.298421,-0.132937,-0.131961,0.705845
0.76743,-0.0621529,0.33267,0.0454444,-0.102613,0.572781
0.7687,-0.0584218,0.335005,0.0413418,-0.10623,0.573486
0.768815,-0.0590956,0.333909,0.0412618,-0.105008,0.573544
0.768487,-0.0571949,0.334066,0.0399571,-0.106419,0.57375
0.769196,-0.0572116,0.334042,0.0400202,-0.105844,0.574569
0.792624,-0.0037248,0.278295,-0.0135379,-0.0723379,0.622084
0.79346,-0.00302267,0.281006,-0.0136101,-0.0737444,0.624416
0.794823,-0.00260591,0.282559,-0.013938,-0.0773528,0.623176
0.794802,-0.00351562,0.282268,-0.0130648,-0.0769151,0.624683
0.794772,-0.00215096,0.283402,-0.0142868,-0.0773953,0.6233
0.814451,-0.148907,0.324668,0.137895,-0.117595,0.615118
0.813951,-0.147443,0.325206,0.136832,-0.117692,0.614076
0.813253,-0.145355,0.325968,0.136695,-0.118566,0.614753
0.814142,-0.146562,0.326118,0.135262,-0.118346,0.613034
0.813682,-0.145575,0.325982,0.136235,-0.119322,0.615436
0.850899,-0.21024,0.258582,0.203792,-0.0748885,0.6809
0.851039,-0.210652,0.258662,0.20409,-0.0751406,0.681486
0.851257,-0.210044,0.259258,0.204624,-0.0762648,0.681372
0.852438,-0.210171,0.262657,0.203774,-0.079737,0.679748
0.852211,-0.208714,0.263495,0.202872,-0.0819805,0.679796
0.769758,-0.122142,0.291973,0.107854,-0.0609895,0.596402
0.769221,-0.121195,0.292355,0.107757,-0.0606056,0.596688
0.770174,-0.123063,0.292265,0.108811,-0.0618777,0.597641
0.769882,-0.122645,0.291839,0.109609,-0.0600211,0.59814
0.770671,-0.124019,0.290663,0.109457,-0.0604991,0.59834
0.802293,0.0468885,0.295029,-0.0627336,-0.0846333,0.630301
0.803046,0.0453472,0.294791,-0.0614635,-0.0849973,0.630963
0.801868,0.0462683,0.294001,-0.0612829,-0.0846233,0.630032
0.80158,0.0463014,0.293517,-0.0615256,-0.0842075,0.630684
0.802433,0.0451864,0.294588,-0.061834,-0.0843142,0.630944
