baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
1.01966,0.167881,0.196405,-0.0501193,-0.322104,1.52378
1.02018,0.166822,0.194744,-0.0493524,-0.320422,1.53222
1.0902,-0.0874474,0.383593,-0.189592,-0.357713,1.24127
1.12945,-0.460002,0.36922,-0.458182,-0.173008,1.03807
1.03514,-0.420537,0.227257,-0.484082,-0.110031,1.18683
1.03526,-0.42174,0.227812,-0.488203,-0.11176,1.19273
1.03551,-0.422157,0.226868,-0.488695,-0.109497,1.19371
1.03539,-0.42103,0.227144,-0.492327,-0.108542,1.19661
0.928859,-0.0518556,0.215258,-0.270707,-0.292046,1.46397
1.04125,0.0363316,0.180874,-0.129476,-0.255329,1.47262
1.0407,0.037152,0.180025,-0.126992,-0.255418,1.47141
1.04124,0.0360781,0.180363,-0.128226,-0.255223,1.46554
1.16311,0.0539252,0.184656,-0.0428197,-0.212669,1.38608
1.16262,0.0549155,0.183909,-0.0408999,-0.211602,1.38592
1.0241,0.0771454,0.36823,-0.114555,-0.431254,1.37335
1.02459,0.0767378,0.367775,-0.11837,-0.426951,1.36768
1.02436,0.0774106,0.368032,-0.117411,-0.432712,1.36746
1.02217,0.101987,0.261786,-0.0994975,-0.355331,1.45028
1.02132,0.103907,0.263893,-0.0993614,-0.358881,1.4431
0.895512,0.16783,0.0254641,-0.1336,-0.236401,1.70491
1.02708,-0.342122,0.0285394,-0.447196,0.0118307,1.35778
1.02745,-0.34245,0.0292262,-0.444814,0.00414439,1.3634
1.0629,-0.435403,0.107671,-0.493078,-0.00187199,1.23649
