baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
0.637273,0.130776,0.290359,-0.260300,0.004926,0.486826
0.637566,0.131465,0.290356,-0.260311,0.004877,0.486966
0.637636,0.131409,0.290200,-0.260300,0.004933,0.486883
0.637682,0.131359,0.290193,-0.260314,0.004881,0.486938
0.638050,0.131593,0.290324,-0.260355,0.004933,0.486967
0.564881,0.195781,0.284875,-0.319426,0.042597,0.420920
0.564624,0.195801,0.284970,-0.319206,0.042506,0.420993
0.565857,0.195084,0.283363,-0.318845,0.042787,0.421101
0.565764,0.194714,0.283026,-0.318539,0.042825,0.421782
0.565927,0.195242,0.282995,-0.318288,0.043116,0.422575
0.589706,-0.028680,0.297976,-0.084267,0.017635,0.436941
0.589472,-0.028919,0.298062,-0.084845,0.018656,0.437851
0.590130,-0.027891,0.297407,-0.085918,0.019714,0.439029
0.589923,-0.027889,0.296992,-0.086569,0.019957,0.439290
0.590126,-0.027871,0.297035,-0.086730,0.020005,0.439371
0.879635,0.198474,0.213509,-0.309710,-0.059499,0.700424
0.879209,0.199520,0.213013,-0.309839,-0.059265,0.699846
0.879411,0.199008,0.213532,-0.309477,-0.058634,0.698859
0.879715,0.199444,0.214055,-0.310404,-0.058932,0.700627
0.879331,0.198028,0.214528,-0.309375,-0.059485,0.698613
0.970104,0.116869,0.214490,-0.243802,-0.111967,0.781925
0.969746,0.116834,0.214671,-0.242954,-0.111493,0.781393
0.969215,0.116542,0.213146,-0.243053,-0.111242,0.781046
0.969551,0.117260,0.213128,-0.242783,-0.110456,0.780651
0.969460,0.117665,0.212902,-0.242926,-0.110293,0.780906
0.909150,-0.067425,0.262712,-0.041542,-0.121834,0.710078
0.909991,-0.066962,0.262423,-0.042279,-0.122088,0.710399
0.910276,-0.066810,0.262669,-0.042375,-0.121842,0.710933
0.910892,-0.065892,0.262055,-0.042951,-0.121754,0.711191
0.910678,-0.065951,0.261391,-0.043150,-0.121618,0.711877
0.870045,-0.096967,0.301006,0.011132,-0.095283,0.634723
0.870638,-0.096414,0.300278,0.010932,-0.095959,0.635793
0.870611,-0.096268,0.300136,0.010596,-0.096501,0.635977
0.870545,-0.095470,0.297749,0.010066,-0.096382,0.636993
0.871503,-0.094901,0.298480,0.009176,-0.095245,0.638736
0.625179,-0.102175,0.377346,0.018338,-0.032583,0.365496
0.625092,-0.102436,0.377306,0.018364,-0.032839,0.365822
0.624742,-0.102240,0.377037,0.018365,-0.033022,0.365861
0.625065,-0.102790,0.377183,0.018430,-0.033014,0.365968
0.625855,-0.101815,0.377098,0.018527,-0.033202,0.365954
0.614150,-0.225882,0.347563,0.133813,-0.005329,0.365404
0.614523,-0.224809,0.347118,0.133545,-0.005533,0.365578
0.614414,-0.225061,0.347551,0.133062,-0.005773,0.366155
0.614398,-0.225512,0.348516,0.132695,-0.005948,0.366404
0.615376,-0.224559,0.347990,0.132841,-0.006037,0.366651
0.679157,-0.236562,0.366381,0.142920,-0.048889,0.414991
0.679147,-0.237185,0.367400,0.143302,-0.048601,0.414900
0.679094,-0.236848,0.367400,0.143347,-0.048537,0.414574
0.678529,-0.237415,0.366890,0.143197,-0.048486,0.414890
0.678911,-0.237441,0.367593,0.143221,-0.048393,0.414955
0.834169,0.055966,0.209464,-0.127612,0.023976,0.646105
0.834400,0.055330,0.209592,-0.127352,0.024239,0.645417
0.833846,0.054667,0.208770,-0.126392,0.023974,0.645626
0.833972,0.054629,0.208902,-0.126085,0.023536,0.645581
0.834055,0.053290,0.210091,-0.125816,0.023537,0.645305
0.778581,0.351948,0.129253,-0.419201,0.087539,0.654635
0.778917,0.351302,0.129302,-0.419107,0.087106,0.654630
0.779004,0.351871,0.129344,-0.417734,0.087332,0.653698
0.779702,0.350263,0.131090,-0.417757,0.087675,0.653974
0.780900,0.347004,0.133060,-0.417534,0.087051,0.655173
0.750208,0.334652,0.024440,-0.416653,0.177618,0.684114
0.750409,0.333892,0.024443,-0.415501,0.177431,0.683813
0.749263,0.333277,0.024227,-0.414442,0.177113,0.683493
0.750098,0.333687,0.024700,-0.414553,0.177214,0.683708
0.750118,0.334291,0.024501,-0.414228,0.177498,0.683125
0.546750,0.238360,0.185962,-0.337622,0.145290,0.434492
0.546575,0.237178,0.186564,-0.337205,0.145235,0.434097
0.547319,0.237855,0.186463,-0.336932,0.144852,0.434280
0.547533,0.238257,0.186064,-0.336844,0.144833,0.434524
0.547610,0.238244,0.185923,-0.336648,0.144826,0.434327
0.536062,0.031271,0.296965,-0.141427,0.058224,0.377033
0.536202,0.031862,0.296770,-0.141142,0.058806,0.375732
0.535616,0.031820,0.295504,-0.141364,0.058930,0.375873
0.535192,0.032616,0.295364,-0.142069,0.059757,0.376866
0.498498,0.020560,0.426744,-0.145072,-0.028117,0.279761
0.500184,0.020982,0.426611,-0.145477,-0.028512,0.280464
0.500425,0.020951,0.426389,-0.145304,-0.028880,0.281741
0.500451,0.021216,0.426326,-0.145316,-0.028606,0.281874
0.500462,0.021053,0.426379,-0.145315,-0.028568,0.282001
0.670174,0.117368,0.409761,-0.240170,-0.077802,0.433087
0.669841,0.117101,0.410725,-0.239988,-0.077807,0.432965
0.669741,0.116319,0.409761,-0.239919,-0.077695,0.433361
0.669801,0.116614,0.410554,-0.239500,-0.077635,0.433238
0.669425,0.116188,0.410130,-0.239283,-0.077587,0.432950
0.898716,0.266163,0.255674,-0.408274,-0.071276,0.710526
0.898133,0.266106,0.254802,-0.408222,-0.071363,0.709983
0.898217,0.265746,0.257070,-0.407969,-0.071001,0.709823
0.897681,0.265167,0.255591,-0.408216,-0.070941,0.709853
0.897641,0.265429,0.256172,-0.408042,-0.071518,0.709549
0.782456,0.365010,0.133882,-0.501877,0.093021,0.671552
0.782536,0.364421,0.133638,-0.501928,0.091754,0.670843
0.782746,0.364360,0.133132,-0.502255,0.092074,0.671505
0.783021,0.364067,0.134084,-0.502121,0.091806,0.671487
0.782746,0.363469,0.133610,-0.501724,0.091914,0.671701
