baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
0.785695,-0.367921,0.091853,-0.298315,-0.198085,0.721802
0.78537,-0.368718,0.0903242,-0.298013,-0.197753,0.719796
1.01827,0.174715,0.201327,0.250383,-0.00296937,0.861945
1.01836,0.172616,0.198227,0.249477,-0.00373787,0.862981
1.01901,0.171125,0.196516,0.247826,-0.00666081,0.864733
1.01863,0.171539,0.197597,0.248061,-0.00647778,0.863902
1.02006,0.17041,0.198122,0.245579,-0.00482895,0.868438
0.797668,0.107228,0.0598975,0.181482,-0.230934,0.729003
0.797654,0.107767,0.0589089,0.181016,-0.232404,0.733278
0.796131,0.109143,0.0596999,0.182533,-0.230569,0.728178
0.796282,0.109335,0.0597438,0.182497,-0.231621,0.730217
0.79609,0.10938,0.0603151,0.182353,-0.230491,0.728761
0.801157,0.0511551,0.121821,0.125186,-0.171487,0.705659
0.801122,0.0516859,0.121061,0.126726,-0.172233,0.704898
0.799051,0.0544872,0.120439,0.127898,-0.173461,0.704474
0.799168,0.0537239,0.120906,0.128829,-0.173691,0.702849
0.977786,0.147972,0.131604,0.229043,-0.0889411,0.860834
0.978361,0.147312,0.130923,0.229586,-0.0914101,0.86186
1.09071,-0.0822524,0.384105,0.00295476,0.194128,0.860154
1.09029,-0.0803926,0.383214,0.00594135,0.193538,0.859913
1.09069,-0.0814393,0.383523,0.00465655,0.193869,0.859548
1.09076,-0.0815281,0.383417,0.00464582,0.194489,0.858541
1.12237,-0.165498,0.369315,-0.0801478,0.194177,0.896631
1.12246,-0.164395,0.367391,-0.0770556,0.193346,0.897458
1.12245,-0.164687,0.367465,-0.0768005,0.193235,0.897613
1.14008,-0.292254,0.357617,-0.203144,0.190948,0.921801
1.14074,-0.287205,0.356109,-0.198992,0.189723,0.920134
1.1027,-0.306188,0.356796,-0.223039,0.169055,0.891959
1.13258,-0.454185,0.369704,-0.373246,0.1942,0.925952
1.0373,-0.4146,0.229125,-0.330964,0.0242621,0.894911
1.03917,-0.412428,0.229842,-0.328361,0.0246163,0.894596
1.0396,-0.410211,0.228757,-0.3233,0.0232707,0.891579
1.03975,-0.411969,0.229098,-0.328202,0.0258915,0.896219
0.983238,-0.168756,0.100673,-0.0847357,-0.115022,0.889663
0.98379,-0.170181,0.100232,-0.0871011,-0.115066,0.890727
0.983558,-0.170486,0.100652,-0.0876887,-0.116137,0.890426
0.983497,-0.170882,0.101536,-0.0889577,-0.115651,0.891976
0.956388,-0.292613,0.161741,-0.211517,-0.0691602,0.851089
0.957413,-0.295379,0.160498,-0.213441,-0.0691506,0.84822
0.956797,-0.294174,0.158855,-0.214203,-0.0711552,0.851669
0.997802,-0.161132,0.121297,-0.0779461,-0.0883786,0.894306
0.998274,-0.161971,0.119154,-0.0782084,-0.089322,0.89558
0.998153,-0.160754,0.120382,-0.0791861,-0.0904552,0.896851
0.998007,-0.160646,0.11987,-0.077684,-0.0901852,0.896735
0.987669,-0.137909,0.20649,-0.0584,-0.0155635,0.851136
0.987817,-0.14224,0.207005,-0.0592577,-0.0159961,0.850312
0.930141,-0.048591,0.214161,0.0321365,-0.0324679,0.790739
0.931076,-0.0512293,0.21431,0.0314659,-0.0310738,0.7906
0.931471,-0.0520612,0.214161,0.0297256,-0.0319629,0.791047
0.931548,-0.0522244,0.214692,0.0294351,-0.0315778,0.791848
0.931852,-0.052767,0.214533,0.0283926,-0.0313621,0.792716
0.991549,-0.0262593,0.157376,0.0607778,-0.0597078,0.867426
0.99232,-0.0290706,0.157386,0.0589229,-0.0604631,0.868928
0.992251,-0.0289906,0.157086,0.0571089,-0.0591096,0.869785
0.992186,-0.028781,0.156762,0.0568594,-0.0588272,0.869281
0.992315,-0.0290791,0.15698,0.0573718,-0.0601662,0.869547
1.04098,0.041635,0.179799,0.128291,-0.0150282,0.897
1.04083,0.0420898,0.181047,0.128948,-0.0129232,0.894188
1.0406,0.0423003,0.180904,0.128832,-0.0142025,0.89405
1.04042,0.0428481,0.181432,0.128677,-0.0140939,0.894449
