baxter_x,baxter_y,baxter_z,camera_x,camera_y,camera_z
0.865797,-0.131306,-0.0753188,-0.130985,-0.203119,0.860087
0.867019,-0.131618,-0.0735847,-0.13109,-0.200853,0.857891
0.86799,-0.132461,-0.0725579,-0.1317,-0.198969,0.858957
0.86852,-0.133228,-0.0721609,-0.13234,-0.197387,0.857541
0.86889,-0.133296,-0.0709703,-0.132976,-0.197294,0.858428
0.908945,-0.0276666,0.00601892,-0.026961,-0.110826,0.857343
0.90866,-0.0270016,0.00386641,-0.0270491,-0.112362,0.859312
0.908953,-0.0275312,0.00407422,-0.026422,-0.11243,0.858762
0.908694,-0.0265901,0.0045658,-0.02613,-0.112074,0.857773
0.908674,-0.0267444,0.00486169,-0.0259904,-0.112317,0.859071
0.775293,-0.120091,0.247918,-0.108107,0.0254587,0.608414
0.775703,-0.119354,0.247004,-0.107979,0.0254549,0.608778
0.775685,-0.118689,0.246308,-0.107514,0.0249681,0.609103
0.775508,-0.118735,0.246484,-0.107256,0.0246297,0.609209
0.775735,-0.118242,0.245887,-0.107444,0.0243085,0.610129
0.863086,-0.108816,0.287477,-0.100534,0.105012,0.664317
0.863574,-0.10952,0.286261,-0.100753,0.104763,0.665754
0.863626,-0.10868,0.286769,-0.100997,0.104542,0.666788
0.863715,-0.110118,0.287251,-0.101956,0.104427,0.665808
0.864141,-0.11036,0.286777,-0.102331,0.104349,0.665852
0.922208,-0.0256163,0.30965,-0.0217697,0.155262,0.70733
0.922365,-0.0251295,0.30976,-0.0211617,0.154471,0.707328
0.922519,-0.0253373,0.30914,-0.0212183,0.154649,0.708571
0.922161,-0.0249344,0.310051,-0.0210883,0.154472,0.708436
0.922194,-0.0250071,0.309501,-0.0218843,0.154934,0.709498
0.837311,0.0837734,0.277233,0.0937727,0.082585,0.657807
0.837135,0.0842322,0.277285,0.0942536,0.0824242,0.658521
0.836909,0.0847666,0.276609,0.0945502,0.0819641,0.658083
0.837289,0.0844114,0.276516,0.0944368,0.0816477,0.65864
0.837485,0.0848359,0.275721,0.0945013,0.0813513,0.659102
0.918551,0.0669571,0.277297,0.062417,0.131989,0.725969
0.918471,0.0678018,0.27729,0.0649406,0.132381,0.725779
0.919034,0.0673413,0.279616,0.0638629,0.133072,0.725401
0.918451,0.0683729,0.279052,0.0643128,0.133186,0.724483
0.917845,0.068328,0.276555,0.0646276,0.131638,0.725715
0.924865,0.0218833,0.285886,0.0196298,0.140447,0.724893
0.925128,0.0211077,0.285776,0.0196003,0.138727,0.725351
0.925291,0.0207153,0.28486,0.0190572,0.139319,0.724819
0.925379,0.0210943,0.28567,0.0189597,0.1398,0.724612
0.925045,0.0221206,0.286464,0.0197872,0.14001,0.724248
0.883804,0.114312,0.298143,0.117346,0.129974,0.687952
0.884507,0.113545,0.297772,0.117357,0.128444,0.689482
0.884604,0.113716,0.297069,0.117407,0.128407,0.689769
0.884082,0.113802,0.297018,0.116519,0.128048,0.690803
0.884195,0.113436,0.297473,0.116873,0.128096,0.690218
0.768509,-0.0615642,0.335127,-0.0563999,0.103147,0.555399
0.768462,-0.0586887,0.335363,-0.0546522,0.10522,0.555659
0.768284,-0.0572554,0.334989,-0.0509429,0.104547,0.555227
0.769271,-0.0576043,0.334788,-0.0514063,0.104058,0.555301
0.769257,-0.0580537,0.334048,-0.0515332,0.104071,0.556556
0.791115,-0.00291487,0.278931,0.00103471,0.0713175,0.607088
0.794256,-0.00219767,0.283173,0.00132961,0.0771941,0.607473
0.794234,-0.00223486,0.283713,0.00174926,0.0771871,0.607117
0.7943,-0.0030235,0.283393,0.0018115,0.0771732,0.606995
0.794392,-0.00287394,0.283468,0.00189417,0.0767814,0.60638
0.814064,-0.148907,0.3256,-0.147583,0.115739,0.597242
0.81432,-0.149289,0.325845,-0.14703,0.115627,0.597333
0.813736,-0.148323,0.326003,-0.146259,0.115782,0.5962
0.813988,-0.147825,0.326227,-0.145943,0.115826,0.596665
0.813465,-0.146021,0.326727,-0.144544,0.116441,0.596521
0.850432,-0.210105,0.258715,-0.212337,0.0742412,0.663007
0.851298,-0.210229,0.26043,-0.211219,0.0749859,0.662728
0.851277,-0.20994,0.261747,-0.212087,0.0785199,0.661563
0.851699,-0.20986,0.262405,-0.211611,0.0787138,0.661192
0.852042,-0.209718,0.26335,-0.212021,0.0795765,0.661237
0.769517,-0.122542,0.29239,-0.117013,0.0596546,0.578795
0.769509,-0.123654,0.290973,-0.117591,0.0601592,0.578959
0.769522,-0.124248,0.29129,-0.118544,0.0590511,0.579327
0.769994,-0.124345,0.291932,-0.118549,0.0592905,0.579447
0.769762,-0.124507,0.291121,-0.118438,0.0595802,0.579014
0.801669,0.0462484,0.293808,0.0498524,0.0831729,0.613879
0.802234,0.0449704,0.294205,0.0493722,0.0827191,0.613337
0.801779,0.0451329,0.293984,0.0487775,0.0828892,0.612965
0.801425,0.0459826,0.294434,0.048975,0.0828443,0.61393
0.80223,0.0446456,0.294544,0.0484214,0.0834271,0.613354
