right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.3340,-0.2823,0.0909,0.7881,1.5961,1.3300,-0.3543
0.0556,0.8364,0.9975,1.3319,1.3008,1.0611,-0.6619
-0.4882,0.9626,1.1651,1.7457,0.6098,0.2366,-0.4702
0.8479,0.7045,1.5148,0.8464,2.0038,1.2790,-0.7747
0.6941,0.5511,1.6717,0.9020,1.8097,1.3480,0.8728
0.0027,0.4594,1.6563,0.7827,0.7122,0.8629,0.1768
-0.3950,0.7892,1.6578,1.1666,0.0529,0.6703,0.1124
-0.3198,0.9273,1.6329,1.3070,-0.0936,0.4161,0.0084
0.3551,1.0458,1.7434,1.1708,1.3806,0.9676,-0.3010
0.4011,0.7777,1.6114,0.9921,1.3637,0.8652,0.8218
0.4640,0.5327,1.4845,0.8011,1.3422,0.6193,1.7016
0.5691,0.3908,1.3921,0.5557,1.3411,0.6416,2.3386
0.0786,0.1147,1.4189,0.8517,-0.0127,0.4863,2.8022
0.0571,-0.2144,1.4634,0.8414,-0.4809,0.8207,-3.1021
0.2700,-0.3102,1.0435,0.9472,-2.8187,-0.8583,2.2737
0.2301,-0.1580,1.1693,1.0005,-2.9042,-0.6784,2.3359
0.0583,0.8801,1.6114,0.8222,-3.0427,-0.9004,1.9052
-0.0587,0.8702,1.6483,0.7685,-3.0430,-0.8376,1.9044
-0.1806,0.7194,1.5723,0.7758,-3.0438,-0.8341,1.8960
-0.1975,0.4755,1.4301,0.7831,-3.0427,-0.7800,1.9248
