position_x,position_y,position_z
0.799004,-0.329609,0.0872994
0.799274,-0.327715,0.0880639
0.799295,-0.327947,0.087826
1.05344,-0.186021,0.239451
1.05384,-0.184591,0.242344
1.05375,-0.184823,0.240646
1.0386,0.202884,0.195036
1.0388,0.201151,0.193118
1.03894,0.200069,0.191242
0.827791,0.124049,0.0701016
0.826755,0.125686,0.0684974
0.827579,0.124438,0.0695516
0.827092,0.124986,0.0702785
0.827316,0.125181,0.0698277
0.830622,0.071257,0.126775
1.05481,-0.0186508,0.414777
1.05551,-0.0202659,0.412533
1.05581,-0.021107,0.413346
1.05553,-0.0200031,0.413173
1.12093,-0.0869994,0.407074
1.12077,-0.0879955,0.408107
1.12055,-0.0865399,0.408296
1.15308,-0.171273,0.387963
1.15264,-0.168979,0.38922
1.17082,-0.291707,0.378568
1.17087,-0.290986,0.378497
1.17071,-0.291516,0.37854
1.13183,-0.298847,0.375659
1.16409,-0.452232,0.383705
1.02016,-0.306152,0.184936
1.02075,-0.307054,0.182895
1.0205,-0.306068,0.183727
1.01485,-0.154564,0.10664
1.0147,-0.15347,0.106054
0.982698,-0.278529,0.18121
0.983352,-0.280853,0.179615
0.984054,-0.281075,0.178739
0.98398,-0.281118,0.178923
0.984205,-0.281462,0.178856
0.984286,-0.281323,0.178841
0.984143,-0.280915,0.178357
0.983878,-0.282049,0.178921
1.03035,-0.152915,0.131577
1.03044,-0.153045,0.130242
1.03031,-0.151875,0.131559
1.03043,-0.151911,0.130916
1.0157,-0.124437,0.221426
1.01569,-0.125079,0.220867
1.01547,-0.125076,0.221236
1.07524,0.0467368,0.19437
1.19634,0.0720044,0.193446
1.19654,0.0705656,0.19128
1.1039,-0.144792,0.269984
1.10398,-0.145422,0.269834
1.10396,-0.145189,0.270385
1.10333,-0.144222,0.269754
1.10403,-0.145151,0.269762
1.10389,-0.146055,0.269451
1.10365,-0.145348,0.269124
1.08988,-0.149485,0.372636
1.08961,-0.148683,0.372434
1.04274,0.107261,0.35213
1.04156,0.107714,0.351157
0.97015,0.19832,0.191813
0.971891,0.197171,0.192375
0.971881,0.197419,0.192286
0.972104,0.197064,0.192929
0.971353,0.197045,0.191832
0.971749,0.196746,0.192478
0.884054,0.000525096,0.132067
0.883864,0.000612406,0.131851
0.884053,0.00202799,0.132743
0.884094,0.00030648,0.1321
0.884248,0.000693071,0.131872
1.04103,0.129327,0.24283
1.04157,0.130682,0.244744
0.993982,0.0926727,0.239199
1.02577,0.0884434,0.208372
1.02614,0.0877012,0.208252
1.02621,0.0876504,0.208406
1.02619,0.0873055,0.208485
1.0255,0.0894996,0.208883
1.02524,0.0896925,0.208504
1.05707,0.129039,0.312825
1.05601,0.129972,0.308898
1.04239,0.100305,0.2645
1.04295,0.0997219,0.263305
1.04225,0.10075,0.262177
1.04187,0.101847,0.261504
0.918539,0.197072,0.0345357
0.918792,0.196487,0.0344386
0.918109,0.197273,0.0361014
0.950529,0.023559,0.00238108
1.01106,-0.131987,-0.0228257
1.03473,-0.261353,0.00504918
1.03555,-0.261165,0.00624187
1.09559,-0.414478,0.103569
