baxter_x,baxter_y,baxter_z,kinect_x,kinect_y,kinect_z
0.781623,-0.369075,0.0918277,-0.292846,-0.0611153,2.08958
0.782229,-0.368594,0.0926313,-0.297601,-0.053397,2.09406
0.781597,-0.368576,0.091082,-0.295808,-0.0588266,2.08984
0.781821,-0.368218,0.0913774,-0.296816,-0.0590544,2.09379
0.78204,-0.368119,0.0913763,-0.284463,-0.0617265,2.09056
0.781362,-0.367604,0.0907368,-0.294265,-0.0592721,2.08835
0.781192,-0.367268,0.0910148,-0.296626,-0.0495559,2.09143
1.02968,-0.215523,0.240651,-0.359636,-0.0880436,1.76672
1.03007,-0.216014,0.240595,-0.359244,-0.0879585,1.76201
1.01945,0.170794,0.19941,-0.0789634,0.032626,1.53761
1.0189,0.169923,0.19748,-0.0783849,0.0340405,1.53911
1.01915,0.16913,0.196645,-0.0801003,0.0334421,1.54201
1.01935,0.168917,0.196629,-0.0808065,0.035294,1.53838
1.01978,0.167986,0.19703,-0.081403,0.0352459,1.54114
1.01923,0.168157,0.196011,-0.0807855,0.0351784,1.53673
1.01951,0.168095,0.196652,-0.0833631,0.0358687,1.54491
1.02011,0.167303,0.19587,-0.0813749,0.0354433,1.53924
0.79784,0.104276,0.0550265,0.0329284,0.0930474,1.78264
0.802007,0.0461323,0.121869,-0.0123856,0.0210297,1.794
0.802299,0.0452408,0.12219,-0.0123235,0.0188725,1.79241
0.802223,0.0458043,0.120994,-0.0107858,0.0205969,1.79068
0.801817,0.046169,0.121292,-0.0114099,0.0201881,1.79496
0.801583,0.0464409,0.120365,-0.0123535,0.0197992,1.79167
0.8006,0.0477724,0.120816,-0.0101498,0.0220673,1.794
0.800331,0.0479447,0.121968,-0.0100426,0.0202501,1.79311
0.800442,0.0479174,0.12245,-0.0101068,0.0193809,1.79376
0.800711,0.0473936,0.121642,-0.00735606,0.0175054,1.79398
0.80078,0.0479069,0.121306,-0.00915131,0.0210599,1.79282
0.800315,0.0482562,0.121354,-0.00963548,0.0190791,1.7905
0.800277,0.0481658,0.120976,-0.00885308,0.0208034,1.79669
0.800041,0.0485585,0.121237,-0.00964699,0.0208836,1.79229
0.799584,0.0493149,0.121217,-0.00844522,0.0201486,1.79294
0.799688,0.0492938,0.120353,-0.00823392,0.0213677,1.79385
0.799904,0.0491853,0.120047,-0.00864763,0.0216072,1.79132
0.800101,0.0487822,0.12033,-0.00813463,0.0199948,1.78911
0.799767,0.0490434,0.120532,-0.00811172,0.021055,1.7931
0.799763,0.0491638,0.119714,-0.00935176,0.0209512,1.79566
0.79933,0.0498023,0.120191,-0.00744718,0.021535,1.79141
0.79926,0.0497072,0.121377,-0.00669107,0.0223228,1.79235
0.799742,0.0487946,0.120577,-0.00812191,0.0220535,1.79667
0.799442,0.0497224,0.120296,-0.00806407,0.021585,1.79563
0.79976,0.0486124,0.120181,-0.00759157,0.0216353,1.79095
0.799293,0.049469,0.119895,-0.00827513,0.0214576,1.78995
0.799575,0.0490439,0.120298,-0.00882274,0.0213155,1.7955
0.799577,0.0492051,0.119925,-0.00986285,0.0209348,1.79034
0.799742,0.0488965,0.120136,-0.00884481,0.0206171,1.79311
0.799347,0.0495502,0.119616,-0.00931879,0.0201401,1.79563
0.799592,0.0492771,0.12019,-0.0069252,0.0216633,1.79273
0.799549,0.0493874,0.119916,-0.00816333,0.0228328,1.7943
0.799511,0.0490174,0.120113,-0.00679054,0.0223447,1.7936
0.799354,0.0493423,0.119965,-0.00935157,0.0222316,1.79305
0.799945,0.0488278,0.120047,-0.0078795,0.0204848,1.79389
0.799455,0.0488947,0.120757,-0.00829877,0.021262,1.79545
0.799092,0.0497324,0.119734,-0.00790055,0.022258,1.79311
0.799205,0.0495825,0.11966,-0.00776228,0.0219735,1.79442
0.799471,0.049045,0.120164,-0.00790409,0.0207496,1.79186
0.79953,0.0490461,0.11909,-0.008652,0.0208364,1.79354
0.799366,0.0491805,0.120261,-0.00721541,0.0211626,1.79203
0.799056,0.0497321,0.119471,-0.00730936,0.0215518,1.79396
0.799869,0.0483056,0.11936,-0.0080258,0.0213406,1.79025
0.799396,0.0493285,0.119671,-0.00811675,0.0219367,1.79147
0.799445,0.0488659,0.119808,-0.0095497,0.0219813,1.79785
0.799365,0.0491858,0.119808,-0.00839987,0.0227347,1.79401
0.799353,0.0490961,0.11992,-0.00773968,0.0213619,1.7927
0.798893,0.0500777,0.120015,-0.00771235,0.020865,1.79355
0.79937,0.0489784,0.119576,-0.00843577,0.0210805,1.7937
0.79932,0.0493609,0.119586,-0.0074573,0.0208556,1.79251
0.799304,0.0493074,0.120191,-0.00793862,0.0192823,1.7952
0.799431,0.0486756,0.11978,-0.00723362,0.0215121,1.79467
0.799319,0.0494262,0.119638,-0.00961708,0.0219596,1.79542
0.799604,0.0490422,0.119676,-0.00808516,0.0226485,1.79477
0.799075,0.0496928,0.119516,-0.00672036,0.0224134,1.79471
0.97987,0.141972,0.132038,-0.0673307,0.077537,1.60186
0.97993,0.14192,0.132108,-0.0653352,0.0771312,1.60382
1.02641,-0.0159835,0.39218,-0.21166,-0.181239,1.57791
1.02632,-0.0156259,0.391298,-0.2117,-0.181906,1.57996
1.02658,-0.0167357,0.391735,-0.212568,-0.180624,1.57877
1.02622,-0.0164955,0.391615,-0.211178,-0.181174,1.5786
1.02676,-0.0164015,0.391382,-0.211123,-0.181642,1.57935
1.02665,-0.0159799,0.39075,-0.212237,-0.180799,1.58228
1.02735,-0.0174199,0.390238,-0.213211,-0.181715,1.57988
1.02717,-0.0167228,0.389764,-0.212631,-0.18105,1.57992
1.02721,-0.0177058,0.389683,-0.213859,-0.182334,1.57894
1.02689,-0.0164755,0.389393,-0.211491,-0.18037,1.58124
1.02693,-0.0166097,0.3888,-0.212023,-0.18061,1.57983
1.02669,-0.0157565,0.389294,-0.210975,-0.180264,1.58192
1.02656,-0.01611,0.388589,-0.211851,-0.17939,1.58061
1.02646,-0.0154713,0.388708,-0.210845,-0.179987,1.5782
1.02684,-0.0159143,0.388607,-0.213073,-0.17982,1.5816
1.02654,-0.0156675,0.389337,-0.210338,-0.179246,1.57715
1.02623,-0.0143704,0.388339,-0.20937,-0.178651,1.57642
1.02619,-0.0149192,0.388595,-0.210046,-0.179729,1.58169
1.026,-0.013691,0.388534,-0.210253,-0.180586,1.58031
1.02655,-0.0150956,0.388718,-0.209921,-0.17876,1.57941
1.02626,-0.0143391,0.389156,-0.209905,-0.178873,1.58309
1.0264,-0.0151673,0.38893,-0.210073,-0.179532,1.57925
1.02615,-0.0145111,0.387528,-0.210649,-0.177951,1.58106
1.02625,-0.0145887,0.388413,-0.210665,-0.178323,1.58183
1.02651,-0.0145871,0.388472,-0.210584,-0.179286,1.57867
1.02634,-0.0141066,0.3889,-0.209862,-0.179385,1.57925
1.02607,-0.0145787,0.388775,-0.209274,-0.17814,1.57614
1.02603,-0.0140585,0.38724,-0.210202,-0.17842,1.5784
1.02617,-0.0140976,0.387828,-0.209809,-0.179439,1.58011
1.02578,-0.0129246,0.388562,-0.209233,-0.17871,1.57894
1.09002,-0.0858846,0.383986,-0.306896,-0.171603,1.58504
1.09012,-0.087142,0.383684,-0.308031,-0.171448,1.58759
1.08962,-0.0858316,0.382923,-0.307726,-0.171396,1.58541
1.12107,-0.170267,0.366735,-0.392526,-0.166617,1.62455
1.12088,-0.169762,0.366608,-0.394714,-0.167641,1.63246
