position_x,position_y,position_z
0.307128,0.15417,0.720742
0.306659,0.154466,0.720971
0.30782,0.154527,0.72191
0.307432,0.155712,0.720816
0.306965,0.156434,0.720912
0.306038,0.156381,0.719705
0.305665,0.156378,0.719397
0.306818,0.156599,0.720475
0.306666,0.156308,0.720078
0.30668,0.156707,0.720622
0.145099,-0.104058,0.866623
0.145343,-0.104772,0.867655
0.146478,-0.105733,0.867836
0.146601,-0.105171,0.86907
0.148479,-0.105824,0.867547
0.1491,-0.106258,0.867267
0.148924,-0.105749,0.867591
0.149098,-0.105724,0.867211
0.149978,-0.106036,0.867401
0.149774,-0.106185,0.86757
-0.244495,-0.0755531,0.870066
-0.241703,-0.0750957,0.871012
-0.241509,-0.073732,0.872296
-0.240669,-0.0737763,0.873341
-0.240852,-0.0741776,0.872302
-0.240329,-0.0738784,0.872064
-0.239658,-0.0741681,0.874407
-0.238877,-0.0731256,0.872955
-0.239616,-0.0731518,0.872067
-0.238392,-0.073704,0.873123
-0.238389,-0.0727012,0.874333
-0.236934,-0.0726956,0.873474
-0.236967,-0.073249,0.873841
-0.237615,-0.0744433,0.873642
-0.236623,-0.0738123,0.87329
-0.237516,-0.0735619,0.873824
-0.239398,-0.0743651,0.872909
-0.239187,-0.0740955,0.873553
-0.237672,-0.0735463,0.873498
-0.237045,-0.0737817,0.872572
-0.237679,-0.074502,0.874636
-0.236526,-0.0757782,0.872806
-0.237651,-0.0737517,0.874206
-0.182064,0.168051,0.746157
-0.18323,0.169846,0.747487
-0.181687,0.173342,0.750519
-0.182014,0.165546,0.745123
-0.183108,0.167793,0.745413
-0.18127,0.168064,0.749468
-0.182337,0.16986,0.747457
-0.182117,0.168405,0.747601
-0.183284,0.168476,0.746695
-0.185413,0.172135,0.747288
-0.185792,0.168375,0.750522
-0.184891,0.170352,0.74916
-0.183782,0.170362,0.749698
-0.181986,0.168234,0.748041
-0.182495,0.167474,0.746318
-0.183225,0.171229,0.750466
-0.18423,0.168755,0.749317
-0.181779,0.164055,0.744903
-0.183407,0.167832,0.747619
-0.184189,0.168086,0.748648
-0.184475,0.168451,0.748612
-0.183542,0.171274,0.73607
-0.184112,0.16702,0.746816
-0.187118,0.166736,0.752943
-0.183833,0.167399,0.746613
-0.185081,0.16722,0.7476
-0.184706,0.167967,0.749486
-0.183276,0.168715,0.748161
-0.185018,0.167067,0.7465
-0.18562,0.167419,0.746384
-0.185779,0.169142,0.752004
-0.185233,0.169366,0.746995
-0.185362,0.16862,0.744962
-0.185229,0.169648,0.745146
-0.182933,0.172594,0.739966
-0.186328,0.168577,0.744931
-0.185294,0.168732,0.743922
-0.185039,0.16873,0.745867
-0.185297,0.168619,0.745513
-0.0876659,0.291358,0.652512
-0.184644,0.16575,0.745799
-0.18543,0.168223,0.745165
-0.185233,0.168744,0.745229
-0.184547,0.169367,0.746848
-0.183671,0.166834,0.745765
-0.186946,0.16754,0.74863
-0.184888,0.169284,0.744098
-0.184239,0.167811,0.744994
-0.184749,0.169547,0.746617
-0.187318,0.170401,0.747802
-0.120754,0.11057,0.721244
-0.120625,0.112133,0.723179
-0.120162,0.111595,0.720909
-0.120178,0.111645,0.720788
-0.120217,0.112149,0.720484
-0.121847,0.112233,0.72196
-0.122349,0.113802,0.721755
-0.223818,0.00257695,0.868401
-0.223616,0.00379233,0.869112
-0.0466751,-0.249064,0.787385
-0.0467387,-0.247259,0.789367
0.0222248,-0.27223,0.848865
0.0217164,-0.27133,0.847166
0.0215873,-0.271494,0.847365
0.021812,-0.272117,0.847567
0.103538,-0.268764,0.883544
0.225782,-0.263677,0.903432
0.225063,-0.264269,0.904406
0.225122,-0.263376,0.903042
0.225814,-0.263725,0.903888
0.224978,-0.264154,0.904139
0.224726,-0.263704,0.90367
0.250111,-0.241374,0.877938
0.249854,-0.241299,0.876821
0.249372,-0.242708,0.878143
0.250399,-0.242728,0.879427
0.248928,-0.242065,0.877615
0.249392,-0.241912,0.878013
0.248986,-0.242414,0.87842
0.250394,-0.242079,0.879158
0.397566,-0.262353,0.90165
0.397056,-0.262277,0.901666
0.396937,-0.262373,0.901329
0.396706,-0.261992,0.901584
0.394005,-0.262076,0.901111
0.39662,-0.262276,0.903167
0.395057,-0.261943,0.902206
0.395353,-0.262207,0.902942
0.351657,-0.0872269,0.887045
0.352338,-0.0871367,0.887858
0.353083,-0.0878698,0.888672
0.354559,0.122748,0.714735
0.253286,-0.0166313,0.860037
0.252587,-0.0162785,0.871224
