right_s0,right_s1,right_e0,right_e1,right_w0,right_w1,right_w2
0.0268,1.0504,1.6245,1.6571,-1.7177,-0.6734,1.6743
-0.0604,1.0473,1.7840,1.6053,-1.7637,-0.4893,1.5000
0.3175,-0.2688,0.6600,1.3825,-1.5808,-0.9545,2.9924
0.1177,-0.1910,0.7701,1.2671,0.9208,1.0561,0.2951
-0.2316,0.3329,0.9120,1.5351,0.9419,0.9814,0.1255
-0.2991,0.2677,0.8897,1.7265,-1.6713,-0.7869,2.4691
0.4172,0.3099,0.9369,1.1148,-1.7441,-0.9054,2.8044
0.8445,0.2316,0.9261,0.7570,-1.1171,-1.0193,2.8011
0.3977,-0.7052,0.8916,1.2318,-0.0782,0.8962,1.7070
0.3747,-0.4472,0.7075,1.1447,-2.0590,-1.0918,3.0595
